sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
PLF-RD-5,Palm Leaf 6in Round Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Plate,"",""
PLF-SQ-2,Palm Leaf 6in Square Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Square Palm Plate,"",""
PLF-RD,Palm Leaf 7 in Round Palm Bowl Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Bowl,"",""
PLF-SQ,Palm Leaf 7 in Square Palm Bowl Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Square Palm Bowl,"",""
PLF-RD-2,Palm Leaf 7.5 in Round Palm Salad Bowl Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Salad Bowl,"",""
PLF-RD-6,Palm Leaf 7in Round Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Plate,"",""
PLF-SQ-3,Palm Leaf 7in Square Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Square Palm Plate,"",""
PLF-RD-7,Palm Leaf 8in Round Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Plate,"",""
PLF-SQ-4,Palm Leaf 8in Square Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Square Palm Plate,"",""
PLF-RD-8,Palm Leaf 9in Round Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Plate,"",""
PLF-SQ-5,Palm Leaf 9in Square Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Square Palm Plate,"",""
VEG-BGT-PL,Vegware 10in Bagasse Plate Compostable,"bagasse, pla",Vegware,,Bagasse,Plate,10in,Compostable
VEG-BGT-OV,Vegware 10in Oval Bagasse Plate Compostable,"bagasse, pla",Vegware,,Bagasse,Oval Plate,10in,Compostable
VEG-BGT-SQ,Vegware 10in square Bagasse Plate Recyclable/Compostable,"paper, pla",Vegware,,Bagasse,square Plate,"",""
VEG-BGT-RC,Vegware 10x5in rectangular Bagasse Plate Recyclable/Compostable,"paper, pla",Vegware,,Bagasse,rectangular Plate,"",""
VEG-BGT-BW-12-2,Vegware 12oz Tall Bagasse Bowl Recyclable/Compostable,paper,Vegware,,Bagasse,Tall Bowl,"",""
VEG-BGT-BW-12,Vegware 12oz Wide Bagasse Bowl Recyclable/Compostable,"paper, pla",Vegware,,Bagasse,Wide Bowl,"",""
VEG-BGT-BW-14,Vegware 14oz Wide Bagasse Bowl Recyclable/Compostable,"paper, pla",Vegware,,Bagasse,Wide Bowl,"",""
VEG-BGT-PL-4,Vegware 6in Bagasse Plate Compostable,"bagasse, pla",Vegware,,Bagasse,Plate,6in,Compostable
VEG-BGT-SQ-3,Vegware 6in square Bagasse Plate Recyclable/Compostable,"paper, pla",Vegware,,Bagasse,square Plate,"",""
VEG-BGT-PL-3,Vegware 7in Bagasse Plate Compostable,"paper, pla",Vegware,,Bagasse,Plate,"",""
VEG-BGT-PL-RD-2,Vegware 7in Source-Reduced Bagasse Plate Compostable,"bagasse, pla",Vegware,,Bagasse,Source-Reduced Plate,7in,Compostable
VEG-BGT-SQ-2,Vegware 8in square Bagasse Plate Recyclable/Compostable,"paper, pla",Vegware,,Bagasse,square Plate,"",""
VEG-BGT-PL-2,Vegware 9in Bagasse Plate Compostable,"bagasse, pla",Vegware,,Bagasse,Plate,9in,Compostable
VEG-BGT-PL-RD,Vegware 9in Source-Reduced Bagasse Plate Recyclable/Compostable,"bagasse, paper, pla",Vegware,,Bagasse,Source-Reduced Plate,"",""
VEG-PLT-4,Vegware Large platter box and insert Compostable (Case of 25),"kraft, pla",Vegware,,,Large platter box and insert,"",""
VEG-PLT-2,Vegware Platter Box Eighth Insert Compostable (Case of 50),pla,Vegware,,,Platter Box Eighth Insert,"",""
VEG-PLT-5,Vegware Platter Box Half Insert Compostable (Case of 50),pla,Vegware,,,Platter Box Half Insert,"",""
VEG-PLT-3,Vegware Platter Box Quarter Insert Compostable (Case of 50),pla,Vegware,,,Platter Box Quarter Insert,"",""
VEG-PLT-6,Vegware Regular platter box Compostable (Case of 50),pla,Vegware,,,Regular platter box,2cm,""
STR-12-WH,12 mm Red/White Angle-Cut Paper Straws (Case of 3000),paper,,White,Paper,Red/ Angle-Cut Straws,12 mm,"Compostable, Recyclable"
STR-CK-6-BK,Black Paper Cocktail Straw 6mm x 140mm – Recyclable Food-Safe,paper,,Black,Paper,Cocktail Straw Food-Safe,"6mm, 140mm",Recyclable
STR-6-BK-2,Black/White Paper Straw 6mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Black/ Straw Food-Safe,"6mm, 200mm, 6 mm",Recyclable
STR-6-WH,Blue/White Paper Straw 6mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Blue/ Straw Food-Safe,"6mm, 200mm, 6 mm",Recyclable
STR-10,Bright Colour Paper Straw 10mm x 200mm – Recyclable Food-Safe,"paper, pp",,,Paper,Bright Colour Straw Food-Safe,"10mm, 200mm, 10 mm",Recyclable
STR-6-WH-3,Green/White Paper Straw 6mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Green/ Straw Food-Safe,"6mm, 200mm, 6 mm",Recyclable
STR-8-WH-2,Jumbo White 8mm Paper Straw Wrapped 7.8 – Compostable Recyclable,"paper, pp",,White,Paper,Jumbo Straw Wrapped 7.8,8mm,"Compostable, Recyclable"
STR-SP-8-WH,Red/White Paper Spoon Straw 8mm x 200mm – Recyclable Food-Safe,paper,,White,Paper,Red/ Spoon Straw Food-Safe,"",Compostable
STR-6-WH-2,Red/White Paper Straw 6mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Red/ Straw Food-Safe,"6mm, 200mm, 6 mm",Recyclable
VEG-STR-9-GN,Vegware Bubble Tea Green Stripe 12 mm Paper Straw 9″ – Compostable,"paper, pla, pp, plastic",Vegware,,Paper,Bubble Tea Green Stripe Straw,"12 mm, 9″","Compostable, Recyclable"
VEG-STR-CK-6-BK-2,"Vegware Cocktail Black 6mm Paper Straw, 5.5in Recyclable/Compostable","paper, pla, pp",Vegware,Black,Paper,Cocktail Straw,6mm,Compostable
VEG-STR-6-BK-3,"Vegware Highball Black 6mm Paper Straw, 7.8in Recyclable/Compostable","paper, pla, pp",Vegware,Black,Paper,Highball Straw,6mm,Compostable
VEG-STR-10-GN,"Vegware Jumbissimo Green Stripe 10mm Paper Straw, 7.8in Recyclable/Compostable","paper, pla",Vegware,,Paper,Jumbissimo Green Stripe Straw,10mm,Compostable
VEG-STR-8-GN,"Vegware Jumbo Green Stripe 8mm Paper Straw, 7.8in Recyclable/Compostable (Case of 3000)","paper, pla",Vegware,,Paper,Jumbo Green Stripe Straw,8mm,Compostable
VEG-STR-6-GN,"Vegware Standard Green Stripe 6mm Paper Straw, 7.8in Recyclable/Compostable","paper, pla, pp",Vegware,,Paper,Standard Green Stripe Straw,6mm,Compostable
STR-CK-6-WH,White Paper Cocktail Straw 6mm x 140mm – Recyclable Food-Safe,paper,,White,Paper,Cocktail Straw Food-Safe,"6mm, 140mm",Recyclable
STR-10-WH,White Paper Straw 10mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Straw Food-Safe,"10mm, 200mm, 10 mm",Recyclable
STR-200-WH,White Paper Straws Individually Wrapped – 200 mm × 8 mm,"paper, pp",,White,Paper,Straws Individually Wrapped ×,"",Compostable
PIZ-KR,10in Brown Kraft Pizza Box Recyclable/Compostable (Case of 75),"",,Brown,Kraft,Pizza Box,"",""
FNC-4,4oz Leakproof Recyclable Paper Pots with lids (Case of 250),"kraft, paper",,,Paper,Leakproof Pots with lids,"",Recyclable
PIZ-BG-5-BK,5″ x 5″ Black Folded Board Burger Tray – Recyclable,"",,Black,,Folded Board Burger Tray,5″,Recyclable
FNC-7,7oz Leakproof Recyclable Paper Pots with lids (Case of 250),paper,,,Paper,Leakproof Pots with lids,"",Recyclable
MFB-BG-BK-2,Black Kraft Burger Box – Case of 200 Recyclable,"kraft, pp",,Black,Kraft,Burger Box,"",Recyclable
